DATE,PPOILUSDM
2018-08-01,534.3528747
2018-09-01,524.8531117
2018-10-01,506.8560417
2018-11-01,444.0798333
2018-12-01,462.4389185
2019-01-01,519.1529431
2019-02-01,522.2878986
2019-03-01,492.6794398
2019-04-01,503.2851124
2019-05-01,472.0977586
2019-06-01,474.6270714
2019-07-01,466.2145961
2019-08-01,508.6088928
2019-09-01,506.8563155
2019-10-01,523.5201318
2019-11-01,612.8027781
2019-12-01,685.2834047
2020-01-01,726.5856019
2020-02-01,642.2521559
2020-03-01,557.902837
2020-04-01,518.4741551
2020-05-01,498.4821648
2020-06-01,573.2235865
2020-07-01,610.4955975
2020-08-01,674.6994389
2020-09-01,707.3252813
2020-10-01,730.9498228
2020-11-01,841.6396844
2020-12-01,910.6483996
2021-01-01,936.4496534
2021-02-01,968.8684064
2021-03-01,995.8010452
2021-04-01,1036.293412
2021-05-01,1104.584933
2021-06-01,920.9626479
2021-07-01,1010.223854
2021-08-01,1077.780613
2021-09-01,1105.978301
2021-10-01,1238.172857
2021-11-01,1279.640812
